AAL,-1.1809418,1.5978557,2.3507974,1.4635122,-2.373893,0.4332367,-0.56486875,1.8777437,0.8829027,-2.1062944,1.1157864,-1.5984671,-0.018132092,-0.5464863,1.5156455,-0.2380458,-1.8377078,-1.3000007,0.4295719,-0.9514486,-1.9378074,-2.577571,0.75430703,1.5213892,-0.3720281,-0.16149934,2.6047585,0.67478967,-0.11762649,0.47669086,-0.922128,2.4634614,-2.4498115,-1.8836958,0.78889877,-2.1975338,-0.45567873,-1.93484,-2.0986123,1.6461327,0.12655531,1.18872,1.5641499,2.5771263,0.5562152,-0.73296154,1.5493648,-2.2619672,1.0782491,-0.30738145
AAME,1.083682,-0.0909288,-0.08285231,-0.14720796,-2.0756252,1.1110361,0.31540117,0.53345823,-1.1104113,0.20389444,0.050197784,0.8227759,1.5556037,-3.5360062,-0.2423375,-1.4928972,2.8235483,-1.4369723,0.5091401,1.770175,-2.3775172,-1.5936357,-0.56687284,-0.11618096,-1.3400842,-2.1277034,2.0996487,2.407523,0.54129535,3.4992797,-1.6377051,-0.27920318,1.3725713,-1.1449335,1.6597254,-1.5205812,-1.4982582,-2.136643,-0.39535734,1.3555963,-0.07180398,1.4853016,-0.25732908,3.4688838,1.9445052,-2.4909513,-0.67058563,-1.3126596,0.23261638,-0.23233527
AAOI,1.1198418,2.5791395,2.3709366,1.1417528,-3.0270574,1.7735386,-0.3728156,0.47184348,0.5861281,-2.108072,0.15448679,-1.1126604,2.165929,0.82224405,-1.4984483,0.8325112,-1.9299082,-3.104058,-0.7404228,-0.46110258,-0.8653872,-0.7780262,-4.193735,1.9994395,1.0031605,-1.7543356,-3.4610841,-0.15183227,-0.20924409,1.5257617,-1.2993985,0.74718165,-1.8232231,-2.8501105,1.0938286,-0.42798957,0.043090373,0.90290236,-3.456077,0.36241704,0.09259385,3.4787912,0.95390284,1.1749954,2.9923868,-1.6839085,1.5759043,2.1875815,-1.8292296,1.041445
AAON,1.1393731,0.9148656,-0.80428755,2.0042126,-1.8101618,3.137958,-1.3321277,2.4616864,0.8222697,0.6740344,-1.2084104,-0.05495318,1.4818723,1.013293,1.0118961,0.8694244,-1.4881465,-3.7346237,-2.6733627,-2.3956132,0.21702553,0.37108523,-2.731479,0.70073235,-2.1355193,-2.0599158,-1.4424121,0.8714868,-1.4095111,3.8162963,-3.3152685,1.0454046,1.2833176,0.08542677,1.9759523,-0.013542384,1.1706524,0.57222587,-0.08183679,0.20964785,-2.065748,1.0329814,1.0724247,-0.7236275,5.3227,-0.91564584,0.6411343,0.20044877,-0.4409405,0.15340003
AAPL,1.7345417,1.0222154,1.2527723,-0.8743832,-3.0690398,-0.086365834,-1.040121,0.31582478,2.217914,-1.7874923,-0.6792829,0.5854365,1.6851641,1.8294035,-0.98988485,1.4888611,-2.8172836,-4.3862777,-0.55225515,-1.3386178,0.28716165,-1.4091967,-2.9888113,3.2661328,-0.6622453,-1.0690868,-3.082022,-1.1183456,1.4114852,3.7145267,-0.66835845,0.60206366,-2.6570187,-1.8124251,0.87390447,0.53950584,0.23840863,0.18048553,-1.8515787,0.70115924,-1.6569833,1.2852514,-0.35631314,0.9306526,2.2679088,-1.8916588,2.7701807,3.041798,-1.904499,-0.0065627503
AAWW,1.0934702,-0.07075347,-0.18319762,-0.25009114,-1.1311483,-0.08044494,0.4495381,-0.18373527,1.1182064,-1.8283933,1.4002427,-0.6454121,-0.18922496,0.27938083,0.6341901,0.41992253,0.63573146,-1.7821587,1.2134541,0.85060453,-0.7433428,-2.1809418,-1.6342052,-1.1335078,2.9912484,-1.189216,2.4262145,-0.21019715,0.19001313,-0.071664214,-1.7383893,-0.2753028,0.264638,-0.8950308,-0.65207684,0.72969985,-2.9300866,-3.5981574,-2.5143483,3.7601864,-1.0478384,3.8325305,-0.07657807,0.32475474,0.23886548,1.9780252,1.3387051,-2.5509057,-0.23812428,-1.1855171
ABCB,-0.43765822,-0.0548991,2.4004087,1.8042642,-0.400675,-0.88579357,-1.2626945,1.9232038,-0.4305917,-0.22277229,0.92308193,1.3471888,0.5682785,-1.6951861,-0.9755416,-1.1607623,-0.82794356,-0.8586082,0.39186352,-0.8061924,-2.2367222,0.81678444,-0.3466958,1.0869317,-3.4838357,-0.60191035,0.88833123,0.58544594,-0.6511531,2.8161738,0.83897966,-1.2425706,1.1701673,-0.4199353,0.32566282,0.102168694,3.5722213,-0.19146505,-0.37254196,1.0358516,0.29137546,2.3921895,1.2529045,2.5963817,3.1041186,-2.3166757,-0.3760748,0.46871638,2.318204,0.90280885
ABEO,1.5840263,0.49136227,-2.2957253,1.318344,-2.7350707,-0.32305795,1.8769931,0.19233854,0.93041223,0.024657961,0.32363936,0.597342,1.9739075,-0.72439164,-0.77334815,-0.6404753,1.9666482,-2.1558676,-0.46079934,-0.10640915,-4.42272,-0.46421912,-0.59507513,1.7467816,1.4748293,-0.49352282,1.5445244,1.812768,1.5965664,1.5413815,-0.015981711,-0.052244566,0.23045756,-2.3019192,0.52854806,-0.15228413,-2.4782443,-3.0434442,-1.627707,1.717169,-1.7783351,0.3549239,-0.5189016,1.9732199,2.68568,-1.489848,0.82445085,-1.96338,-2.810752,1.5097847
ABIO,-1.0493432,1.874947,0.6495228,2.9733744,0.37319198,-1.1081284,-0.7819816,1.209523,1.6517768,0.94730365,1.2439318,-0.89944935,0.750078,2.0169303,-1.8864982,0.7434756,-0.7224967,-1.344024,1.7212383,-1.4021024,-1.92756,0.13339671,-0.8300856,1.9662918,-0.15063894,-0.8888968,2.3863676,-1.0045836,-2.334603,2.7414439,0.93379104,-1.7001581,-0.63066,-2.2652173,-0.35705143,1.862675,1.7384858,-0.67332953,-2.8258197,2.101142,1.1567203,2.5728617,0.4724875,1.5047548,2.5701926,-0.40328357,0.3195295,-0.060110204,-0.6067712,0.024797158
ABMD,1.0443715,0.31932375,-2.5366282,2.2172859,-3.1064956,-0.6882722,-0.22288708,2.6798763,-0.03754766,-3.4553337,2.9715242,0.40469584,0.46371904,-0.95356476,0.61979985,0.5209363,-0.69284815,-1.8867011,0.6651104,-1.8089114,-0.4236695,-1.9066243,0.1059047,2.1885228,2.9397438,-0.9241031,1.0926505,-1.7695804,-0.5110674,2.1500576,-1.1728591,0.11242631,-1.3733468,-1.7621213,-0.82612747,-0.34438244,2.5400918,0.2387017,0.45347106,1.6772057,-1.3955845,0.191968,2.4576876,1.8563011,1.9777336,1.0368943,1.9498293,-3.2278626,-1.0647773,2.9058485
